"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-01-01","4.92",",,W","0.00",",,W,2400","0.0",",,W","27","H,,S","40",",,W","17",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-01-02","6.26",",,W","0.11",",,W,2400","0.0",",,W","34","H,,S","40",",,W","25",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-01-03","10.07",",,W","0.00","T,,W,2400","0.0",",,W","38","H,,S","39",",,W","19",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-01-04","17.00",",,W","0.00",",,W,2400","0.0",",,W","18","H,,S","19",",,W","7",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-01-05","12.75",",,W","0.00","T,,W,2400","0.0","T,,W","9","H,,S","13",",,W","3",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-01-06","10.07",",,W","0.00","T,,W,2400","0.0","T,,W","4","H,,S","9",",,W","0",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-01-07","10.74",",,W","0.00",",,W,2400","0.0",",,W","6","H,,S","18",",,W","0",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-01-08","9.62",",,W","0.00",",,W,2400","0.0",",,W","9","H,,S","19",",,W","2",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-01-09","12.97",",,W","0.02",",,W,2400","0.2",",,W","22","H,,S","33",",,W","19",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-01-10","23.26",",,W","0.20",",,W,2400","0.0",",,W","38","H,,S","51",",,W","25",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-01-11","12.08",",,W","0.33",",,W,2400","0.0",",,W","32","H,,S","43",",,W","25",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-01-12","11.18",",,W","0.05",",,W,2400","0.2",",,W","26","H,,S","28",",,W","19",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-01-13","8.95",",,W","0.00",",,W,2400","0.0",",,W","20","H,,S","27",",,W","16",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-01-14","4.70",",,W","0.00",",,W,2400","0.0",",,W","29","H,,S","35",",,W","21",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-01-15","2.24",",,W","0.00",",,W,2400","0.0",",,W","26","H,,S","36",",,W","20",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-01-16","5.82",",,W","0.90",",,W,2400","0.0","T,,W","33","H,,S","37",",,W","30",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-01-17","9.62",",,W","0.48",",,W,2400","0.0",",,W","37","H,,S","39",",,W","35",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-01-18","9.62",",,W","0.00","T,,W,2400","0.0",",,W","35","H,,S","36",",,W","30",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-01-19","6.71",",,W","0.46",",,W,2400","0.0",",,W","36","H,,S","42",",,W","30",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-01-20","5.82",",,W","0.18",",,W,2400","0.0",",,W","39","H,,S","43",",,W","38",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-01-21","8.50",",,W","0.00","T,,W,2400","0.0",",,W","48","H,,S","59",",,W","40",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-01-22","5.37",",,W","0.01",",,W,2400","0.0",",,W","43","H,,S","46",",,W","38",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-01-23","9.40",",,W","0.00",",,W,2400","0.0",",,W","39","H,,S","42",",,W","36",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-01-24","7.16",",,W","0.00","T,,W,2400","0.0",",,W","37","H,,S","38",",,W","34",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-01-25","11.41",",,W","0.09",",,W,2400","0.0","T,,W","37","H,,S","42",",,W","34",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-01-26","13.42",",,W","0.00","T,,W,2400","0.0","T,,W","33","H,,S","34",",,W","30",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-01-27","14.76",",,W","0.00","T,,W,2400","0.0","T,,W","28","H,,S","31",",,W","24",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-01-28","11.63",",,W","0.00","T,,W,2400","0.0","T,,W","27","H,,S","29",",,W","24",",,W"
